"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","108.125","16.0797996520996","21","21.789","20.032","8.4337182","2.44269370987558","0.94552580759166","6.27935724",
"1/2/1979","108.125","16.0797996520996","21","22.05","19.974","1.9174578624","2.02150816325091","0.923605204715697","4.13178966",
"1/3/1979","108.125","16.0797996520996","21","22.847","19.485","0.5201344728","1.36372606039142","0.865096705537499","6.81300279",
"1/4/1979","108.125","16.0797996520996","21","22.304","18.682","0.224876376","1.88796325786212","0.862532990097965","9.143602632",
"1/5/1979","108.125","16.0797996520996","21","23.549","19.568","0.5098341528","2.1794067729298","0.865400210218578","10.84044924",
"1/6/1979","108.125","16.0797996520996","21","24.41","18.392","0.0102996864","2.58471877113561","0.837970163268527","20.0215044",
"1/7/1979","108.125","16.0797996520996","21","23.953","16.938","0.163078416","1.30952240552335","0.881904217331947","12.011401368",
"1/8/1979","108.125","16.0797996520996","21","24.352","18.549","0.118446336","1.48334781081736","0.87863926541116","19.203246",
"1/9/1979","108.125","16.0797996520996","21","25.32","16.931","0","1.89424956102413","0.858579378497355","15.0897393",
"1/10/1979","108.125","16.0797996520996","21","26.267","17.988","0","2.06833098870378","0.802633329013949","17.7667227",
"1/11/1979","108.125","16.0797996520996","21","26.142","18.513","0","2.45495528740587","0.774186967907745","20.152630368",
"1/12/1979","108.125","16.0797996520996","21","26.321","18.186","0","2.33591038412713","0.788296653768174","20.507116968",
"1/13/1979","108.125","16.0797996520996","21","25.837","20.528","0","2.2033764230772","0.786128342268723","20.208717",
"1/14/1979","108.125","16.0797996520996","21","25.764","19.062","0","2.3400576216335","0.835052065939883","20.6930772",
"1/15/1979","108.125","16.0797996520996","21","22.9","17.404","5.8828331304","2.71830549543997","0.934735066602396","7.38590643",
"1/16/1979","108.125","16.0797996520996","21","20.347","19.682","24.787908","2.56121736533797","0.960264194931467","0.88869393",
"1/17/1979","108.125","16.0797996520996","21","25.326","18.266","0.5819321448","1.85600691482459","0.866302718918406","20.8727379",
"1/18/1979","108.125","16.0797996520996","21","26.25","15.42","0.0068664528","1.50070900241773","0.804161482992119","21.1099527",
"1/19/1979","108.125","16.0797996520996","21","22.653","18.048","0.1029968136","1.66071425046405","0.91656328606149","9.3977397",
"1/20/1979","108.125","16.0797996520996","21","22.292","19.918","0.5098348584","2.02146672919906","0.888051594710927","7.149541968",
"1/21/1979","108.125","16.0797996520996","21","22.251","16.73","2.3929602264","1.80417291691495","0.937067387498948","2.86498116",
"1/22/1979","108.125","16.0797996520996","21","22.549","20.227","1.833342696","1.94256525711223","0.906061722719438","4.47991479",
"1/23/1979","108.125","16.0797996520996","21","24.859","20.297","1.4179226328","2.10769864192117","0.862158886935491","18.3377277",
"1/24/1979","108.125","16.0797996520996","21","24.433","20.614","1.1466985104","1.63692028921354","0.864348884148678","15.84258075",
"1/25/1979","108.125","16.0797996520996","21","24.337","20.149","10.11429288","1.72874825458324","0.90479452224517","15.26270913",
"1/26/1979","108.125","16.0797996520996","21","25.382","19.273","0.472927032","1.73240892043289","0.882701150053786","17.66266497",
"1/27/1979","108.125","16.0797996520996","21","26.33","17.874","0.0102996792","2.0445033497493","0.851390393785459","21.2633451",
"1/28/1979","108.125","16.0797996520996","21","27.985","19.704","0","2.94214323796914","0.773550292680564","21.728133432",
"1/29/1979","108.125","16.0797996520996","21","28.737","21.021","0.4566192264","2.05358645987541","0.750668448645227","13.081045968",
"1/30/1979","108.125","16.0797996520996","21","25.207","21.533","8.58650166","1.89221247141454","0.902245593035512","4.92755481",
"1/31/1979","108.125","16.0797996520996","21","21.625","15.224","10.61725428","4.32614432310738","0.949480200689725","1.81175562",
"2/1/1979","108.125","16.0797996520996","21","16.783","15.548","11.04297084","2.85991769271455","0.966865802400483","1.15768116",
"2/2/1979","108.125","16.0797996520996","21","20.499","16.56","3.366279756","1.6810078489975","0.961911586537153","4.43936493",
"2/3/1979","108.125","16.0797996520996","21","25.929","17.397","0.0789642288","1.73005033276627","0.884870779497599","21.115070568",
"2/4/1979","108.125","16.0797996520996","21","25.594","17.562","0","1.55557365394109","0.881248214359233","22.3517232",
"2/5/1979","108.125","16.0797996520996","21","24.08","18.39","3.31477956","2.04922904258179","0.901875475382777","12.8818719",
"2/6/1979","108.125","16.0797996520996","21","21.335","19.817","3.9379130568","1.88284063142747","0.937888371406713","3.76419618",
"2/7/1979","108.125","16.0797996520996","21","24.067","19.841","2.294255448","2.17187658338988","0.862047919244806","16.78477698",
"2/8/1979","108.125","16.0797996520996","21","24.319","19.437","0.135612468","2.38761616878802","0.826547352050394","17.161483032",
"2/9/1979","108.125","16.0797996520996","21","24.624","18.058","0.0205993584","2.35791991387233","0.841615756367068","22.106312568",
"2/10/1979","108.125","16.0797996520996","21","25.59","16.953","0","2.42981026268505","0.846751882687773","23.6404638",
"2/11/1979","108.125","16.0797996520996","21","27.107","18.429","0.0755310168","2.60359785609816","0.802365690764654","23.9070888",
"2/12/1979","108.125","16.0797996520996","21","27.637","18.133","0.176811156","2.19500509628312","0.83681318215193","21.5182674",
"2/13/1979","108.125","16.0797996520996","21","28.377","21.282","0.048065184","2.78741984578137","0.783123430100973","22.924692",
"2/14/1979","108.125","16.0797996520996","21","29.095","19.543","0","2.19920203300493","0.766101120812682","23.2043067",
"2/15/1979","108.125","16.0797996520996","21","24.384","20.373","15.17486616","1.66568103130692","0.917064949781972","19.294198632",
"2/16/1979","108.125","16.0797996520996","21","21.508","19.714","8.128166652","1.70053996194039","0.9301755491781","4.50196542",
"2/17/1979","108.125","16.0797996520996","21","24.789","17.584","0","2.41953498227801","0.827756407450955","24.144522768",
